voelt zich depressief,pos
voelt zich somber,pos
voelt zich slecht,pos
zich depressief te voelen,pos
voelt zich de hele dag depressief,pos
geen verbetering van stemming,pos
opnieuw depressieve gevoelens,pos
opnieuw depressieve gedachten,pos
voelt zich weer wat beter,neg
voelt zich beter,neg
heeft een goed stemming,neg
stemming is goed,neg
stemming is beter,neg
stemming is verbeterd,neg
voelt zich opgeruimd,neg
zegt zich niet depressief te voelen,neg
voelt zich weer de oude,neg
voelt zich de oude,neg
voelt zich een stuk beter,neg
